name,ts,lec_seats,lab_seats,disc_seats,sem_seats,WL,min_indx,Open
EECS 490 - Programming Languages,1586250032.3976262,154,0,154,0,0,disc_seats,1
EECS 492 - Introduction to Artificial Intelligence,1586250032.7833412,149,0,149,0,0,disc_seats,1
EECS 493 - User Interface Development,1586250033.234831,217,0,217,0,0,disc_seats,1
EECS 494 - Computer Game Design and Development,1586250033.607014,72,0,0,0,0,lec_seats,1
EECS 495 - Software Development for Accessibility,1586250034.001158,58,0,58,0,0,disc_seats,1
EECS 496 - Major Design Experience-Professionalism,1586250034.380661,405,0,0,0,0,lec_seats,1
EECS 497 - Human-Centered Software Design and Development,1586250034.713814,95,0,0,0,0,lec_seats,1
EECS 498 - Special Topics,1586250035.150362,476,40,60,0,0,lab_seats,1
EECS 499 - Advanced Directed Study,1586250037.450591,0,0,0,0,0,null,0
EECS 300 - Electrical Engineering Systems Design II,1586250906.0105212,25,25,0,0,0,lab_seats,1
EECS 301 - Probabilistic Methods in Engineering,1586250906.374897,64,0,64,0,0,disc_seats,1
EECS 311 - Analog Circuits,1586250906.7303429,30,21,0,0,0,lab_seats,1
EECS 312 - Digital Integrated Circuits,1586250907.0749938,31,0,31,0,0,disc_seats,1
"EECS 314 - Electrical Circuits, Systems and Applications",1586250907.5759091,157,157,157,0,0,lab_seats,1
EECS 320 - Introduction to Semiconductor Devices,1586250907.985468,54,0,54,0,0,disc_seats,1
EECS 330 - Introduction to Antennas and Wireless Systems,1586250908.376896,29,29,0,0,0,lab_seats,1
EECS 334 - Principles of Optics,1586250908.7325828,24,0,24,0,0,disc_seats,1
EECS 351 - Introduction to Digital Signal Processing,1586250909.127708,45,0,45,0,0,disc_seats,1
EECS 367 - Introduction to Autonomous Robotics,1586250909.479438,56,56,0,0,0,lab_seats,1
EECS 370 - Introduction to Computer Organization,1586250910.009515,622,0,617,0,0,disc_seats,1
EECS 373 - Introduction to Embedded System Design,1586250910.406358,58,58,0,0,0,lab_seats,1
EECS 376 - Foundations of Computer Science,1586250911.157588,915,0,566,0,0,disc_seats,1
EECS 388 - Introduction to Computer Security,1586250911.6403468,364,364,0,0,0,lab_seats,1
EECS 399 - Directed Study,1586250914.379992,0,0,0,0,0,null,0
EECS 402 - Computer Programming for Scientists and Engineers,1586250914.814393,26,0,26,0,0,disc_seats,1
EECS 409 - Data Science Seminar,1586250915.2349539,0,0,0,0,0,null,0
EECS 411 - M-Wave Circ I,1586250915.62792,15,15,0,0,0,lab_seats,1
EECS 413 - Monolith Amplifier Circuits,1586250916.1364741,38,38,0,0,0,lab_seats,1
EECS 414 - Intro to MEMS,1586250916.519682,52,0,52,0,0,disc_seats,1
EECS 417 - Electrical Biophysics,1586250916.904313,22,0,0,0,0,lec_seats,1
EECS 418 - Power Electronics,1586250917.315001,28,14,0,0,0,lab_seats,1
EECS 421 - Properties of Transistors,1586250917.710219,23,0,23,0,0,disc_seats,1
EECS 423 - Sol State Dev Lab,1586250918.068417,3,3,0,0,0,lab_seats,1
EECS 427 - Very Large Scale Integrated Design I,1586250918.4391522,35,35,0,0,0,lab_seats,1
EECS 428 - Introduction to Quantum Nanotechnology,1586250918.798984,32,0,0,0,0,lec_seats,1
EECS 434 - Princ of Photonics,1586250919.1924438,20,0,20,0,0,disc_seats,1
EECS 438 - Adv Lasers Lab,1586250919.5869172,5,5,0,0,0,lab_seats,1
EECS 441 - Mobile App Development for Entrepreneurs,1586250920.003371,246,0,160,0,0,disc_seats,1
EECS 442 - Computer Vision,1586250920.377954,137,0,137,0,0,disc_seats,1
EECS 443 - Senior ThesisL,1586250920.8369322,0,0,0,0,0,null,0
EECS 445 - Introduction to Machine Learning,1586250921.2386298,303,0,303,0,0,disc_seats,1
